CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,CreditBand,TenureGroup,BalanceSegment,CLV_Score,CLV_Segment,EngagementScore,Balance_Salary_Ratio,Cluster
729,France,Male,30,9,0.0,2,1,0,151869.35,0,<30,High,Long,Zero,47360.805,Medium,0,0.0,2
646,France,Female,46,4,0.0,3,1,0,93251.42,1,46-60,Medium,Mid,Zero,28775.426,Low,0,0.0,2
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,<30,Medium,Mid,Medium,88449.24299999999,High,2,0.52,0
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,30-45,Medium,Mid,Zero,53261.566,Medium,3,0.0,1
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,30-45,High,Long,Medium,104853.013,Premium,0,0.81,3
524,France,Female,36,10,0.0,2,1,0,109614.57,0,30-45,Low,Long,Zero,34884.371,Low,0,0.0,2
769,France,Male,29,8,0.0,2,1,1,172290.61,0,<30,High,Long,Zero,53287.183,Medium,2,0.0,1
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,30-45,High,Mid,Zero,26594.741,Low,2,0.0,1
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,30-45,Low,Long,High,126520.309,Premium,1,1.45,0
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,30-45,High,Long,Medium,72592.295,High,1,1.59,0
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,<30,High,Long,Medium,109326.039,Premium,2,0.49,0
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,<30,Medium,Long,Zero,31493.511999999995,Low,0,0.0,2
413,France,Male,34,9,0.0,2,0,0,6534.18,0,30-45,Low,Long,Zero,3760.254,Low,0,0.0,2
665,France,Female,40,6,0.0,1,1,1,161848.03,0,30-45,Medium,Mid,Zero,49754.409,Medium,1,0.0,1
623,France,Female,44,6,0.0,2,0,0,167162.43,0,30-45,Medium,Mid,Zero,51348.729,Medium,0,0.0,2
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,30-45,High,Long,Medium,55728.291,Medium,0,1.97,3
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,30-45,Low,Long,Zero,19560.968,Low,0,0.0,2
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,60+,Medium,New,Zero,53496.704,Medium,1,0.0,1
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,46-60,Medium,Mid,Medium,63632.012,Medium,2,3.46,0
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,30-45,Medium,New,Medium,47685.669,Medium,1,8.85,0
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,30-45,High,New,Medium,61396.381,Medium,1,2.7,0
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,30-45,Medium,Mid,High,97605.237,High,0,2.09,3
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,30-45,Low,Long,Medium,78051.90299999999,High,0,0.93,3
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,<30,Medium,Mid,Medium,64793.269,Medium,1,1.44,0
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,30-45,Low,Long,Medium,63596.928,Medium,0,3.97,3
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,30-45,Low,New,Medium,76558.398,High,0,1.15,3
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,30-45,Medium,Long,Medium,61793.571,Medium,1,4.62,0
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,<30,High,Long,High,109428.052,Premium,2,1.52,0
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,<30,Medium,Long,High,90226.384,High,2,1.78,0
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,30-45,Medium,Mid,High,119823.687,Premium,0,1.45,3
506,France,Female,41,1,0.0,2,1,0,31766.3,0,30-45,Low,New,Zero,9729.89,Low,0,0.0,2
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,30-45,Low,Long,Medium,115426.932,Premium,0,0.54,3
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,30-45,Medium,Mid,High,129637.249,Premium,0,1.53,3
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,30-45,High,Long,High,77756.201,High,0,3.39,3
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,30-45,Medium,Mid,Medium,91335.995,High,0,1.2,3
656,France,Female,39,6,0.0,2,1,0,141069.88,0,30-45,Medium,Mid,Zero,43520.964,Medium,0,0.0,2
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,46-60,Medium,Long,High,124631.01799999998,Premium,1,0.64,0
625,France,Female,28,3,0.0,1,0,0,183646.41,0,<30,Medium,Mid,Zero,55693.923,Medium,0,0.0,2
432,France,Male,42,9,152603.45,1,1,0,110265.24,1,30-45,Low,Long,High,111181.297,Premium,0,1.38,3
549,France,Female,52,1,0.0,1,0,1,8636.05,1,46-60,Low,New,Zero,2790.815,Low,1,0.0,1
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,46-60,Medium,New,High,88300.844,High,0,3.17,3
828,France,Female,41,7,0.0,2,1,0,171378.77,0,30-45,High,Long,Zero,52813.631,Medium,0,0.0,2
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,<30,High,Long,Medium,102890.44,Premium,0,0.61,3
758,France,Female,34,3,0.0,2,1,1,124226.16,0,30-45,High,Mid,Zero,37867.848,Low,2,0.0,1
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,30-45,High,Long,High,101711.778,Premium,1,1.14,0
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,30-45,Medium,Long,Medium,73768.099,High,1,3.44,0
686,France,Male,25,1,0.0,2,0,1,16459.37,0,<30,Medium,New,Zero,5137.811,Low,2,0.0,1
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,30-45,High,Long,Medium,101137.554,Premium,2,1.0,0
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,46-60,Medium,Mid,High,83929.894,High,2,4.15,0
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,30-45,Low,Mid,Medium,83167.249,High,1,0.38,0
637,France,Male,40,2,133463.1,1,0,1,93165.34,0,30-45,Medium,New,High,95081.152,High,1,1.43,0
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,46-60,Medium,New,High,129521.475,Premium,0,2.84,3
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,30-45,Low,New,High,67522.429,Medium,2,15.07,0
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,30-45,High,Long,High,127589.215,Premium,0,0.73,3
663,France,Male,34,7,0.0,2,1,1,180427.24,0,30-45,Medium,Long,Zero,55528.172,Medium,2,0.0,1
682,France,Female,43,5,125851.93,1,1,1,193318.33,0,30-45,Medium,Mid,High,121921.464,Premium,1,0.65,0
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,46-60,High,New,Zero,48137.146,Medium,0,0.0,2
691,France,Female,31,5,40915.55,1,1,0,126213.84,1,30-45,Medium,Mid,Low,59321.927,Medium,0,0.32,2
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,<30,Low,Mid,Medium,73821.06,High,1,2.09,0
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,<30,Medium,Long,High,113071.123,Premium,0,0.98,3
650,France,Male,37,5,106967.18,1,0,0,24495.03,0,30-45,Medium,Mid,Medium,61832.099,Medium,0,4.37,3
735,France,Male,44,9,120681.63,1,1,0,74836.34,0,30-45,High,Long,Medium,84591.717,High,0,1.61,3
416,France,Male,32,0,0.0,2,0,1,878.87,0,30-45,Low,New,Zero,263.661,Low,2,0.0,1
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,30-45,High,Long,Zero,28256.225,Low,0,0.0,2
535,France,Female,48,9,0.0,1,1,0,149892.79,1,46-60,Low,Long,Zero,46767.837,Medium,0,0.0,2
716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,30-45,Medium,Long,Zero,55840.126,Medium,0,0.0,2
539,France,Male,37,2,127609.59,1,1,0,98646.22,0,30-45,Low,New,High,93798.661,High,0,1.29,3
614,France,Female,43,6,0.0,2,1,1,109041.53,0,30-45,Medium,Mid,Zero,33912.459,Low,2,0.0,1
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,46-60,Medium,Long,Zero,6782.348,Low,0,0.0,2
758,France,Female,33,7,0.0,2,0,0,82996.47,0,30-45,High,Long,Zero,26298.941,Low,0,0.0,2
586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,<30,Medium,New,Zero,28020.205,Low,2,0.0,1
646,France,Female,73,6,97259.25,1,0,1,104719.66,0,60+,Medium,Mid,Medium,81245.523,High,1,0.93,0
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,30-45,Medium,Mid,Medium,96229.621,High,0,1.09,3
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,<30,Medium,Mid,Medium,77139.993,High,1,1.19,0
684,France,Male,30,2,0.0,2,1,0,83473.82,0,<30,Medium,New,Zero,25442.146,Low,0,0.0,2
800,France,Female,49,7,108007.36,1,0,0,47125.11,0,46-60,High,Long,Medium,69541.213,Medium,0,2.29,3
721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,30-45,High,New,Zero,32493.34,Low,2,0.0,1
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,<30,Medium,New,High,83526.20700000001,High,0,2.41,3
660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,30-45,Medium,Long,High,106357.204,Premium,2,0.9,0
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,<30,Medium,Long,Medium,106668.154,Premium,0,0.7,3
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,30-45,Medium,Long,Medium,115256.603,Premium,0,0.55,3
667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,30-45,Medium,New,Zero,12616.372,Low,0,0.0,2
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,<30,Medium,Long,Medium,46705.195,Medium,0,1.09,2
484,France,Female,29,4,130114.39,1,1,0,164017.89,0,<30,Low,Mid,High,115062.562,Premium,0,0.79,3
628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,<30,Medium,Mid,Medium,95712.333,High,0,0.61,3
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,30-45,Low,Long,High,68446.095,Medium,0,23.68,3
578,France,Male,30,4,169462.09,1,1,0,112187.11,0,<30,Low,Mid,High,119187.178,Premium,0,1.51,3
512,France,Male,40,5,0.0,2,1,1,146457.83,0,30-45,Low,Mid,Zero,44937.349,Medium,2,0.0,1
484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,30-45,Low,Long,High,76519.935,High,1,4.91,0
510,France,Female,30,0,0.0,2,1,1,130553.47,0,<30,Low,New,Zero,39166.041,Low,2,0.0,1
606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,30-45,Medium,Mid,High,150045.307,Premium,0,1.06,3
597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,30-45,Medium,Long,Medium,81028.796,High,1,1.08,0
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,46-60,High,Mid,High,83828.66,High,0,20.0,3
850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,30-45,High,New,Medium,67400.35500000001,Medium,1,6.28,0
510,France,Male,65,2,0.0,2,1,1,48071.61,0,60+,Low,New,Zero,14821.483,Low,2,0.0,1
778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,30-45,High,New,High,133634.591,Premium,0,0.93,3
636,France,Male,42,2,0.0,2,1,1,55470.78,0,30-45,Medium,New,Zero,17041.234,Low,2,0.0,1
804,France,Female,50,4,0.0,1,1,1,8546.87,1,46-60,High,Mid,Zero,3364.061,Low,1,0.0,1
514,France,Male,32,8,0.0,2,1,0,95857.18,0,30-45,Low,Long,Zero,30357.154,Low,0,0.0,2
730,France,Female,39,1,99010.67,1,1,0,194945.8,0,30-45,High,New,Medium,108189.075,Premium,0,0.51,3
525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,30-45,Low,New,Zero,39456.516,Low,1,0.0,1
616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,<30,Medium,Mid,Zero,59832.553,Medium,2,0.0,1
687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,30-45,Medium,Long,Medium,101663.518,Premium,0,0.75,3
715,France,Female,41,8,56214.85,2,0,0,92982.61,1,30-45,Medium,Long,Medium,57602.208,Medium,0,0.6,2
512,France,Female,36,3,84327.77,2,1,0,17675.36,0,30-45,Low,Mid,Medium,48066.493,Medium,0,4.77,2
479,France,Male,40,1,0.0,2,0,0,114996.43,0,30-45,Low,New,Zero,34698.929,Low,0,0.0,2
601,France,Male,32,8,93012.89,1,1,0,86957.42,0,30-45,Medium,Long,Medium,74193.671,High,0,1.07,3
580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,<30,Low,Long,Medium,71078.56,Medium,0,0.48,2
807,France,Male,35,3,174790.15,1,1,1,600.36,0,30-45,High,Mid,High,88175.18299999999,High,1,291.14,0
616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,30-45,Medium,Mid,Zero,14100.438,Low,2,0.0,1
721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,30-45,High,Mid,Medium,102037.656,Premium,1,0.68,0
501,France,Male,57,10,0.0,2,1,1,47847.19,0,46-60,Low,Long,Zero,16354.157,Low,2,0.0,1
521,France,Male,35,6,96423.84,1,1,0,10488.44,0,30-45,Low,Mid,Medium,52558.452,Medium,0,9.19,3
850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,<30,High,New,High,72713.46500000001,High,1,23.59,0
759,France,Male,42,4,105420.18,1,0,1,121409.06,0,30-45,High,Mid,Medium,89932.80799999999,High,1,0.87,0
516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,46-60,Low,Mid,Zero,44843.779,Medium,1,0.0,1
711,France,Female,38,2,129022.06,2,1,1,14374.86,1,30-45,Medium,New,High,69223.488,Medium,2,8.98,0
512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,30-45,Low,Mid,High,117334.541,Premium,0,1.87,3
550,France,Male,37,3,0.0,1,1,1,179670.31,0,30-45,Low,Mid,Zero,54501.093,Medium,1,0.0,1
608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,30-45,Medium,Mid,Medium,105273.342,Premium,0,0.45,3
618,France,Male,34,5,134954.53,1,1,1,151954.39,0,30-45,Medium,Mid,High,114063.582,Premium,1,0.89,0
643,France,Male,45,5,0.0,1,1,0,142513.5,1,30-45,Medium,Mid,Zero,43754.05,Medium,0,0.0,2
671,France,Male,45,2,106376.85,1,0,1,158264.62,0,30-45,Medium,New,Medium,101067.811,Premium,1,0.67,0
689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,30-45,Medium,New,High,132121.89,Premium,0,0.96,3
603,France,Male,31,8,0.0,2,1,1,169915.02,0,30-45,Medium,Long,Zero,52574.506,Medium,2,0.0,1
620,France,Female,41,9,0.0,2,0,0,88852.47,0,30-45,Medium,Long,Zero,28455.741,Low,0,0.0,2
676,France,Female,34,1,63095.01,1,1,1,40645.81,0,30-45,Medium,New,Medium,43941.248,Medium,1,1.55,0
572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,<30,Low,Mid,Medium,78071.69499999999,High,0,1.96,3
668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,46-60,Medium,Long,Medium,102214.811,Premium,1,0.68,0
695,France,Male,46,7,49512.55,1,1,0,133007.34,0,46-60,Medium,Long,Low,66058.477,Medium,0,0.37,3
730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,30-45,High,Long,Zero,54772.986,Medium,0,0.0,2
807,France,Male,43,1,105799.32,2,1,0,34888.04,1,30-45,High,New,Medium,63566.072,Medium,0,3.03,3
592,France,Male,54,8,0.0,1,1,1,28737.71,1,46-60,Medium,Long,Zero,10221.313,Low,1,0.0,1
726,France,Female,31,9,114722.05,2,1,1,98178.57,0,30-45,High,Long,Medium,88614.596,High,2,1.17,0
514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,<30,Low,Long,Zero,38903.072,Low,1,0.0,1
567,France,Male,42,2,0.0,2,1,1,167984.61,0,30-45,Low,New,Zero,50795.383,Medium,2,0.0,1
850,France,Male,33,10,0.0,1,1,0,4861.72,1,30-45,High,Long,Zero,3458.516,Low,0,0.0,2
671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,30-45,Medium,Mid,Medium,83643.845,High,1,0.91,0
670,France,Male,37,4,170557.91,2,1,0,198252.88,0,30-45,Medium,Mid,High,145554.81900000002,Premium,0,0.86,3
694,France,Female,30,9,0.0,2,1,1,26960.31,0,<30,Medium,Long,Zero,9888.093,Low,2,0.0,1
547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,30-45,Low,Mid,Medium,64222.031,Medium,3,0.87,1
751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,46-60,High,New,Medium,72006.07,Medium,0,1.25,3
594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,<30,Medium,Mid,High,84329.669,High,0,2.14,3
