CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,CreditBand,TenureGroup,BalanceSegment,CLV_Score,CLV_Segment,EngagementScore,Balance_Salary_Ratio
669,France,Male,46,3,0.0,2,0,1,8487.75,0,46-60,Medium,Mid,Zero,3146.325,Low,2,0.0
846,France,Female,38,5,0.0,1,1,1,187616.16,0,30-45,High,Mid,Zero,57284.848,Medium,1,0.0
577,France,Male,25,3,0.0,2,0,1,124508.29,0,<30,Low,Mid,Zero,37952.486999999994,Low,2,0.0
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,30-45,High,New,High,119820.405,Premium,1,0.8
571,France,Male,44,9,0.0,2,0,0,38433.35,0,30-45,Low,Long,Zero,13330.005,Low,0,0.0
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,30-45,Low,Mid,High,101330.94399999999,Premium,1,1.41
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,<30,Low,New,Medium,45893.547999999995,Medium,2,1.12
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,30-45,Medium,Mid,Zero,42740.814,Medium,0,0.0
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,30-45,Low,Long,Medium,91075.423,High,1,0.54
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,30-45,Low,Long,Medium,81425.913,High,0,1.34
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,30-45,Low,Mid,Zero,11523.165,Low,2,0.0
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,<30,High,Long,Zero,44409.921,Medium,2,0.0
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,30-45,Low,New,High,75478.917,High,0,4.83
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,30-45,Low,Mid,High,107450.14600000001,Premium,1,1.27
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,30-45,High,Long,Medium,69210.33499999999,Medium,1,0.78
850,France,Male,36,7,0.0,1,1,1,40812.9,0,30-45,High,Long,Zero,13643.87,Low,1,0.0
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,30-45,Medium,Mid,Medium,89796.95199999999,High,2,0.4
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,30-45,Low,Mid,Zero,21846.266,Low,0,0.0
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,46-60,Low,Long,Medium,117250.455,Premium,0,0.68
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,60+,Low,New,Medium,87355.82400000001,High,1,1.25
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,46-60,High,New,High,124407.008,Premium,0,0.68
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,60+,Medium,Mid,High,126467.07199999999,Premium,1,0.98
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,30-45,High,Mid,Medium,93465.803,High,2,0.86
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,<30,High,Long,Medium,93735.29800000001,High,1,0.94
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,30-45,Medium,Long,High,106008.73999999999,Premium,1,1.17
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,30-45,Low,New,Medium,79359.129,High,1,1.14
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,30-45,High,New,Medium,110514.34599999999,Premium,0,0.53
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,30-45,Medium,Long,Medium,119599.43299999999,Premium,0,0.59
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,30-45,Medium,Mid,High,99952.856,Premium,0,1.69
788,France,Female,33,5,0.0,2,0,0,116978.19,0,30-45,High,Mid,Zero,36093.457,Low,0,0.0
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,30-45,Medium,Long,High,113593.26699999999,Premium,0,0.77
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,30-45,Medium,New,Medium,61452.288,Medium,0,2.46
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,30-45,Medium,New,High,96829.10699999999,High,1,1.1
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,30-45,Medium,Mid,High,91064.47099999999,High,0,1.47
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,<30,High,New,Medium,51628.225,Medium,0,1.66
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,60+,Low,Mid,Zero,1292.933,Low,0,0.0
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,46-60,Medium,Mid,Low,35175.543999999994,Low,1,0.87
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,30-45,High,Mid,High,94781.371,High,0,1.62
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,<30,Medium,Long,High,115912.886,Premium,0,1.2
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,30-45,Low,New,Medium,81881.784,High,0,0.31
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,46-60,Medium,Long,Medium,70773.088,Medium,1,0.79
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,<30,Medium,Mid,Medium,83235.386,High,1,1.18
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,30-45,High,Mid,High,94443.238,High,2,6.12
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,30-45,Medium,New,Medium,84145.973,High,0,0.92
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,30-45,High,Long,Medium,122591.989,Premium,2,0.63
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,30-45,Medium,Mid,High,110459.82,Premium,2,1.33
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,<30,Medium,Long,Medium,56247.53,Medium,0,5.4
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,46-60,High,New,High,75784.878,High,0,4.71
813,France,Male,29,6,0.0,1,1,0,33953.87,0,<30,High,Mid,Zero,11386.161,Low,0,0.0
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,30-45,Medium,New,High,95064.655,High,1,3.7
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,<30,Medium,Mid,High,97418.46299999999,High,2,2.7
519,France,Male,36,9,0.0,2,0,1,145562.4,0,30-45,Low,Long,Zero,45468.719999999994,Medium,2,0.0
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,<30,High,New,High,96275.495,High,0,7.98
664,France,Male,55,8,0.0,2,1,1,139161.64,0,46-60,Medium,Long,Zero,43348.492000000006,Medium,2,0.0
678,France,Female,32,9,0.0,1,1,1,148210.64,0,30-45,Medium,Long,Zero,46263.192,Medium,1,0.0
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,30-45,High,Mid,Medium,97898.49900000001,Premium,1,0.4
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,30-45,Low,Long,Medium,92585.313,High,0,1.24
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,30-45,Medium,New,Medium,99946.86799999999,Premium,0,0.56
777,France,Female,32,2,0.0,1,1,0,136458.19,1,30-45,High,New,Zero,41337.457,Medium,0,0.0
543,France,Female,36,3,0.0,2,0,0,26019.59,0,30-45,Low,Mid,Zero,8405.877,Low,0,0.0
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,30-45,Low,Mid,Medium,93724.397,High,1,0.57
493,France,Female,46,4,0.0,2,1,0,1907.66,0,46-60,Low,Mid,Zero,1372.298,Low,0,0.0
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,60+,Medium,Long,Zero,36402.725,Low,2,0.0
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,<30,High,Mid,Medium,100033.91500000001,Premium,0,0.95
729,France,Male,30,9,0.0,2,1,0,151869.35,0,<30,High,Long,Zero,47360.805,Medium,0,0.0
646,France,Female,46,4,0.0,3,1,0,93251.42,1,46-60,Medium,Mid,Zero,28775.426,Low,0,0.0
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,<30,Medium,Mid,Medium,88449.24299999999,High,2,0.52
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,30-45,Medium,Mid,Zero,53261.566,Medium,3,0.0
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,30-45,High,Long,Medium,104853.013,Premium,0,0.81
524,France,Female,36,10,0.0,2,1,0,109614.57,0,30-45,Low,Long,Zero,34884.371,Low,0,0.0
769,France,Male,29,8,0.0,2,1,1,172290.61,0,<30,High,Long,Zero,53287.183,Medium,2,0.0
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,30-45,High,Mid,Zero,26594.740999999998,Low,2,0.0
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,30-45,Low,Long,High,126520.30900000001,Premium,1,1.45
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,30-45,High,Long,Medium,72592.295,High,1,1.59
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,<30,High,Long,Medium,109326.03899999999,Premium,2,0.49
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,<30,Medium,Long,Zero,31493.511999999995,Low,0,0.0
413,France,Male,34,9,0.0,2,0,0,6534.18,0,30-45,Low,Long,Zero,3760.254,Low,0,0.0
665,France,Female,40,6,0.0,1,1,1,161848.03,0,30-45,Medium,Mid,Zero,49754.409,Medium,1,0.0
623,France,Female,44,6,0.0,2,0,0,167162.43,0,30-45,Medium,Mid,Zero,51348.729,Medium,0,0.0
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,30-45,High,Long,Medium,55728.291,Medium,0,1.97
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,30-45,Low,Long,Zero,19560.967999999997,Low,0,0.0
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,60+,Medium,New,Zero,53496.704,Medium,1,0.0
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,46-60,Medium,Mid,Medium,63632.012,Medium,2,3.46
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,30-45,Medium,New,Medium,47685.668999999994,Medium,1,8.85
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,30-45,High,New,Medium,61396.381,Medium,1,2.7
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,30-45,Medium,Mid,High,97605.237,High,0,2.09
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,30-45,Low,Long,Medium,78051.90299999999,High,0,0.93
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,<30,Medium,Mid,Medium,64793.269,Medium,1,1.44
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,30-45,Low,Long,Medium,63596.928,Medium,0,3.97
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,30-45,Low,New,Medium,76558.398,High,0,1.15
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,30-45,Medium,Long,Medium,61793.571,Medium,1,4.62
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,<30,High,Long,High,109428.052,Premium,2,1.52
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,<30,Medium,Long,High,90226.384,High,2,1.78
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,30-45,Medium,Mid,High,119823.68699999999,Premium,0,1.45
506,France,Female,41,1,0.0,2,1,0,31766.3,0,30-45,Low,New,Zero,9729.89,Low,0,0.0
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,30-45,Low,Long,Medium,115426.932,Premium,0,0.54
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,30-45,Medium,Mid,High,129637.249,Premium,0,1.53
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,30-45,High,Long,High,77756.201,High,0,3.39
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,30-45,Medium,Mid,Medium,91335.995,High,0,1.2
656,France,Female,39,6,0.0,2,1,0,141069.88,0,30-45,Medium,Mid,Zero,43520.964,Medium,0,0.0
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,46-60,Medium,Long,High,124631.01799999998,Premium,1,0.64
625,France,Female,28,3,0.0,1,0,0,183646.41,0,<30,Medium,Mid,Zero,55693.923,Medium,0,0.0
432,France,Male,42,9,152603.45,1,1,0,110265.24,1,30-45,Low,Long,High,111181.297,Premium,0,1.38
549,France,Female,52,1,0.0,1,0,1,8636.05,1,46-60,Low,New,Zero,2790.8149999999996,Low,1,0.0
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,46-60,Medium,New,High,88300.844,High,0,3.17
828,France,Female,41,7,0.0,2,1,0,171378.77,0,30-45,High,Long,Zero,52813.630999999994,Medium,0,0.0
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,<30,High,Long,Medium,102890.44,Premium,0,0.61
758,France,Female,34,3,0.0,2,1,1,124226.16,0,30-45,High,Mid,Zero,37867.848,Low,2,0.0
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,30-45,High,Long,High,101711.77799999999,Premium,1,1.14
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,30-45,Medium,Long,Medium,73768.099,High,1,3.44
686,France,Male,25,1,0.0,2,0,1,16459.37,0,<30,Medium,New,Zero,5137.811,Low,2,0.0
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,30-45,High,Long,Medium,101137.554,Premium,2,1.0
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,46-60,Medium,Mid,High,83929.894,High,2,4.15
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,30-45,Low,Mid,Medium,83167.249,High,1,0.38
637,France,Male,40,2,133463.1,1,0,1,93165.34,0,30-45,Medium,New,High,95081.152,High,1,1.43
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,46-60,Medium,New,High,129521.475,Premium,0,2.84
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,30-45,Low,New,High,67522.429,Medium,2,15.07
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,30-45,High,Long,High,127589.215,Premium,0,0.73
663,France,Male,34,7,0.0,2,1,1,180427.24,0,30-45,Medium,Long,Zero,55528.172,Medium,2,0.0
682,France,Female,43,5,125851.93,1,1,1,193318.33,0,30-45,Medium,Mid,High,121921.46399999999,Premium,1,0.65
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,46-60,High,New,Zero,48137.146,Medium,0,0.0
691,France,Female,31,5,40915.55,1,1,0,126213.84,1,30-45,Medium,Mid,Low,59321.926999999996,Medium,0,0.32
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,<30,Low,Mid,Medium,73821.06,High,1,2.09
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,<30,Medium,Long,High,113071.12299999999,Premium,0,0.98
650,France,Male,37,5,106967.18,1,0,0,24495.03,0,30-45,Medium,Mid,Medium,61832.098999999995,Medium,0,4.37
735,France,Male,44,9,120681.63,1,1,0,74836.34,0,30-45,High,Long,Medium,84591.717,High,0,1.61
416,France,Male,32,0,0.0,2,0,1,878.87,0,30-45,Low,New,Zero,263.661,Low,2,0.0
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,30-45,High,Long,Zero,28256.225,Low,0,0.0
535,France,Female,48,9,0.0,1,1,0,149892.79,1,46-60,Low,Long,Zero,46767.837,Medium,0,0.0
716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,30-45,Medium,Long,Zero,55840.126000000004,Medium,0,0.0
539,France,Male,37,2,127609.59,1,1,0,98646.22,0,30-45,Low,New,High,93798.661,High,0,1.29
614,France,Female,43,6,0.0,2,1,1,109041.53,0,30-45,Medium,Mid,Zero,33912.459,Low,2,0.0
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,46-60,Medium,Long,Zero,6782.348,Low,0,0.0
758,France,Female,33,7,0.0,2,0,0,82996.47,0,30-45,High,Long,Zero,26298.941,Low,0,0.0
586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,<30,Medium,New,Zero,28020.205,Low,2,0.0
646,France,Female,73,6,97259.25,1,0,1,104719.66,0,60+,Medium,Mid,Medium,81245.523,High,1,0.93
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,30-45,Medium,Mid,Medium,96229.621,High,0,1.09
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,<30,Medium,Mid,Medium,77139.993,High,1,1.19
684,France,Male,30,2,0.0,2,1,0,83473.82,0,<30,Medium,New,Zero,25442.146,Low,0,0.0
800,France,Female,49,7,108007.36,1,0,0,47125.11,0,46-60,High,Long,Medium,69541.213,Medium,0,2.29
721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,30-45,High,New,Zero,32493.34,Low,2,0.0
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,<30,Medium,New,High,83526.20700000001,High,0,2.41
660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,30-45,Medium,Long,High,106357.204,Premium,2,0.9
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,<30,Medium,Long,Medium,106668.15400000001,Premium,0,0.7
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,30-45,Medium,Long,Medium,115256.603,Premium,0,0.55
667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,30-45,Medium,New,Zero,12616.372,Low,0,0.0
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,<30,Medium,Long,Medium,46705.195,Medium,0,1.09
484,France,Female,29,4,130114.39,1,1,0,164017.89,0,<30,Low,Mid,High,115062.562,Premium,0,0.79
628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,<30,Medium,Mid,Medium,95712.333,High,0,0.61
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,30-45,Low,Long,High,68446.095,Medium,0,23.68
578,France,Male,30,4,169462.09,1,1,0,112187.11,0,<30,Low,Mid,High,119187.178,Premium,0,1.51
512,France,Male,40,5,0.0,2,1,1,146457.83,0,30-45,Low,Mid,Zero,44937.348999999995,Medium,2,0.0
484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,30-45,Low,Long,High,76519.935,High,1,4.91
510,France,Female,30,0,0.0,2,1,1,130553.47,0,<30,Low,New,Zero,39166.041,Low,2,0.0
606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,30-45,Medium,Mid,High,150045.307,Premium,0,1.06
597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,30-45,Medium,Long,Medium,81028.796,High,1,1.08
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,46-60,High,Mid,High,83828.66,High,0,20.0
850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,30-45,High,New,Medium,67400.35500000001,Medium,1,6.28
510,France,Male,65,2,0.0,2,1,1,48071.61,0,60+,Low,New,Zero,14821.483,Low,2,0.0
778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,30-45,High,New,High,133634.59100000001,Premium,0,0.93
636,France,Male,42,2,0.0,2,1,1,55470.78,0,30-45,Medium,New,Zero,17041.234,Low,2,0.0
804,France,Female,50,4,0.0,1,1,1,8546.87,1,46-60,High,Mid,Zero,3364.061,Low,1,0.0
514,France,Male,32,8,0.0,2,1,0,95857.18,0,30-45,Low,Long,Zero,30357.154,Low,0,0.0
730,France,Female,39,1,99010.67,1,1,0,194945.8,0,30-45,High,New,Medium,108189.075,Premium,0,0.51
525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,30-45,Low,New,Zero,39456.515999999996,Low,1,0.0
616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,<30,Medium,Mid,Zero,59832.553,Medium,2,0.0
687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,30-45,Medium,Long,Medium,101663.518,Premium,0,0.75
715,France,Female,41,8,56214.85,2,0,0,92982.61,1,30-45,Medium,Long,Medium,57602.208,Medium,0,0.6
512,France,Female,36,3,84327.77,2,1,0,17675.36,0,30-45,Low,Mid,Medium,48066.493,Medium,0,4.77
479,France,Male,40,1,0.0,2,0,0,114996.43,0,30-45,Low,New,Zero,34698.929,Low,0,0.0
601,France,Male,32,8,93012.89,1,1,0,86957.42,0,30-45,Medium,Long,Medium,74193.671,High,0,1.07
580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,<30,Low,Long,Medium,71078.56,Medium,0,0.48
807,France,Male,35,3,174790.15,1,1,1,600.36,0,30-45,High,Mid,High,88175.18299999999,High,1,291.14
616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,30-45,Medium,Mid,Zero,14100.438,Low,2,0.0
721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,30-45,High,Mid,Medium,102037.65599999999,Premium,1,0.68
501,France,Male,57,10,0.0,2,1,1,47847.19,0,46-60,Low,Long,Zero,16354.157000000001,Low,2,0.0
521,France,Male,35,6,96423.84,1,1,0,10488.44,0,30-45,Low,Mid,Medium,52558.452,Medium,0,9.19
850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,<30,High,New,High,72713.46500000001,High,1,23.59
759,France,Male,42,4,105420.18,1,0,1,121409.06,0,30-45,High,Mid,Medium,89932.80799999999,High,1,0.87
516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,46-60,Low,Mid,Zero,44843.778999999995,Medium,1,0.0
711,France,Female,38,2,129022.06,2,1,1,14374.86,1,30-45,Medium,New,High,69223.488,Medium,2,8.98
512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,30-45,Low,Mid,High,117334.541,Premium,0,1.87
550,France,Male,37,3,0.0,1,1,1,179670.31,0,30-45,Low,Mid,Zero,54501.093,Medium,1,0.0
608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,30-45,Medium,Mid,Medium,105273.34199999999,Premium,0,0.45
618,France,Male,34,5,134954.53,1,1,1,151954.39,0,30-45,Medium,Mid,High,114063.582,Premium,1,0.89
643,France,Male,45,5,0.0,1,1,0,142513.5,1,30-45,Medium,Mid,Zero,43754.049999999996,Medium,0,0.0
671,France,Male,45,2,106376.85,1,0,1,158264.62,0,30-45,Medium,New,Medium,101067.811,Premium,1,0.67
689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,30-45,Medium,New,High,132121.89,Premium,0,0.96
603,France,Male,31,8,0.0,2,1,1,169915.02,0,30-45,Medium,Long,Zero,52574.505999999994,Medium,2,0.0
620,France,Female,41,9,0.0,2,0,0,88852.47,0,30-45,Medium,Long,Zero,28455.740999999998,Low,0,0.0
676,France,Female,34,1,63095.01,1,1,1,40645.81,0,30-45,Medium,New,Medium,43941.248,Medium,1,1.55
572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,<30,Low,Mid,Medium,78071.69499999999,High,0,1.96
668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,46-60,Medium,Long,Medium,102214.811,Premium,1,0.68
695,France,Male,46,7,49512.55,1,1,0,133007.34,0,46-60,Medium,Long,Low,66058.477,Medium,0,0.37
730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,30-45,High,Long,Zero,54772.986,Medium,0,0.0
807,France,Male,43,1,105799.32,2,1,0,34888.04,1,30-45,High,New,Medium,63566.072,Medium,0,3.03
592,France,Male,54,8,0.0,1,1,1,28737.71,1,46-60,Medium,Long,Zero,10221.313,Low,1,0.0
726,France,Female,31,9,114722.05,2,1,1,98178.57,0,30-45,High,Long,Medium,88614.596,High,2,1.17
514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,<30,Low,Long,Zero,38903.072,Low,1,0.0
567,France,Male,42,2,0.0,2,1,1,167984.61,0,30-45,Low,New,Zero,50795.382999999994,Medium,2,0.0
850,France,Male,33,10,0.0,1,1,0,4861.72,1,30-45,High,Long,Zero,3458.516,Low,0,0.0
671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,30-45,Medium,Mid,Medium,83643.845,High,1,0.91
670,France,Male,37,4,170557.91,2,1,0,198252.88,0,30-45,Medium,Mid,High,145554.81900000002,Premium,0,0.86
694,France,Female,30,9,0.0,2,1,1,26960.31,0,<30,Medium,Long,Zero,9888.093,Low,2,0.0
547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,30-45,Low,Mid,Medium,64222.031,Medium,3,0.87
751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,46-60,High,New,Medium,72006.07,Medium,0,1.25
594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,<30,Medium,Mid,High,84329.669,High,0,2.14
673,France,Male,72,1,0.0,2,0,1,111981.19,0,60+,Medium,New,Zero,33794.356999999996,Low,2,0.0
610,France,Male,40,0,0.0,2,1,0,62232.6,0,30-45,Medium,New,Zero,18669.78,Low,0,0.0
512,France,Female,37,1,0.0,2,0,1,156105.03,0,30-45,Low,New,Zero,47031.509,Medium,2,0.0
767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,<30,High,Mid,Medium,105497.739,Premium,2,0.8
585,France,Female,67,5,113978.97,2,0,1,93146.11,0,60+,Medium,Mid,Medium,85933.318,High,2,1.22
