CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CLV_Score,EngagementScore,Balance_Salary_Ratio,Geography_France,Geography_Germany,Geography_Spain,Churn_Probability,Risk_Tier,Actual_Churn
659,0,67,6,117411.6,1,1,1,45071.09,73427.12700000001,1,2.61,False,True,False,0.422,Medium Risk,1
575,0,49,7,121205.15,4,1,1,168080.53,112426.734,4,0.72,False,True,False,0.91,Critical Risk,1
580,1,35,1,102097.33,1,0,1,168285.85,101734.42,1,0.61,True,False,False,0.162,Low Risk,0
766,0,41,0,0.0,2,0,1,34283.23,10284.969,2,0.0,False,False,True,0.109,Low Risk,0
850,0,38,3,54901.01,1,1,1,140075.55,70073.17,1,0.39,False,True,False,0.17,Low Risk,0
749,0,42,1,129776.72,2,0,1,143538.51,108149.913,2,0.9,True,False,False,0.217,Low Risk,0
746,0,48,5,165282.42,1,1,0,153786.46,129777.148,0,1.07,True,False,False,0.768,Critical Risk,1
718,0,37,8,0.0,2,1,1,142.81,1642.843,2,0.0,True,False,False,0.084,Low Risk,0
642,0,26,8,144238.7,1,1,1,184399.76,129039.278,1,0.78,False,False,True,0.146,Low Risk,0
558,0,33,0,108477.49,1,1,1,109096.71,86967.758,1,0.99,True,False,False,0.065,Low Risk,1
531,1,64,2,175754.87,2,1,1,60721.4,106493.855,2,2.89,False,True,False,0.22,Low Risk,0
748,1,41,2,91621.69,1,1,1,71139.31,67552.638,1,1.29,True,False,False,0.193,Low Risk,0
664,0,36,1,0.0,2,1,1,95372.64,28811.792,2,0.0,True,False,False,0.033,Low Risk,0
511,1,75,9,105609.17,1,0,1,105425.18,86232.139,1,1.0,False,True,False,0.481,Medium Risk,0
635,1,47,2,125724.95,2,1,0,63236.97,82233.56599999999,0,1.99,True,False,False,0.612,High Risk,0
571,0,34,1,99325.04,2,0,1,186052.15,105678.165,2,0.53,True,False,False,0.072,Low Risk,0
698,0,57,6,136325.48,2,1,1,72549.27,91127.521,2,1.88,True,False,False,0.182,Low Risk,1
636,0,76,9,126534.6,1,1,1,39789.62,77004.186,1,3.18,False,False,True,0.093,Low Risk,0
538,1,33,5,0.0,2,1,0,126962.41,39088.723,0,0.0,True,False,False,0.101,Low Risk,0
738,1,67,1,130652.52,1,0,1,22762.23,72354.929,1,5.74,True,False,False,0.2,Low Risk,0
662,0,20,9,104508.77,2,0,0,73107.53,75986.644,0,1.43,False,False,True,0.17,Low Risk,0
555,1,44,3,105770.7,3,1,0,60533.96,71645.538,0,1.75,True,False,False,0.792,Critical Risk,1
531,0,27,8,132576.25,1,0,0,7222.92,70055.001,0,18.35,False,False,True,0.29,Low Risk,0
593,1,32,9,134096.53,2,1,0,53931.05,85027.58,0,2.49,False,True,False,0.277,Low Risk,1
579,0,28,6,150329.15,1,1,0,145558.42,120032.101,0,1.03,False,True,False,0.484,Medium Risk,0
706,0,32,6,94486.47,1,1,1,146949.74,92528.157,1,0.64,True,False,False,0.073,Low Risk,0
754,0,28,8,0.0,2,1,1,52615.62,17384.686,2,0.0,True,False,False,0.02,Low Risk,0
653,0,31,9,143321.97,1,1,0,83679.46,98564.823,0,1.71,False,True,False,0.607,High Risk,0
558,0,26,1,148853.29,2,1,1,24411.02,81949.951,2,6.1,False,True,False,0.087,Low Risk,0
589,1,39,7,0.0,2,0,0,95985.64,30195.692,0,0.0,True,False,False,0.185,Low Risk,0
670,1,65,1,0.0,1,1,1,177655.68,53496.704,1,0.0,False,False,True,0.226,Low Risk,1
714,1,35,6,126077.43,2,1,1,53954.24,80424.987,2,2.34,False,True,False,0.133,Low Risk,0
547,1,51,1,0.0,2,1,1,56908.41,17272.523,2,0.0,True,False,False,0.132,Low Risk,0
761,0,37,7,132730.17,1,1,0,199293.01,127552.988,0,0.67,False,False,True,0.298,Low Risk,0
591,0,24,6,147360.0,1,1,1,25310.82,82473.246,1,5.82,True,False,False,0.062,Low Risk,0
714,1,31,4,125169.26,1,1,1,106636.89,95375.697,1,1.17,True,False,False,0.073,Low Risk,0
629,0,35,7,156847.29,2,1,0,31824.29,89370.932,0,4.93,False,True,False,0.344,Medium Risk,0
643,0,36,7,161064.64,2,0,1,84294.82,107220.766,2,1.91,True,False,False,0.121,Low Risk,0
445,1,38,6,119413.62,2,1,0,175756.36,113633.718,0,0.68,False,True,False,0.443,Medium Risk,0
501,1,34,3,107747.57,1,1,0,9249.36,57248.593,0,11.65,True,False,False,0.217,Low Risk,0
686,1,43,5,154846.24,2,1,1,151903.6,123994.2,2,1.02,False,True,False,0.343,Medium Risk,0
500,0,30,2,125495.64,2,1,1,68807.47,83790.061,2,1.82,False,True,False,0.096,Low Risk,0
703,0,39,1,141559.5,1,1,1,31257.1,80356.88,1,4.53,False,True,False,0.485,Medium Risk,1
730,0,34,5,122453.37,2,1,0,138882.98,103891.579,0,0.88,True,False,False,0.216,Low Risk,0
433,0,27,2,0.0,2,1,1,153698.65,46509.595,2,0.0,False,False,True,0.023,Low Risk,0
521,0,41,8,120586.54,1,0,1,20491.15,68040.61499999999,1,5.88,False,True,False,0.688,High Risk,0
791,1,33,10,130229.71,2,0,0,54019.93,83320.834,0,2.41,False,True,False,0.174,Low Risk,1
757,0,38,0,0.0,1,1,0,83263.06,24978.918,0,0.0,True,False,False,0.457,Medium Risk,0
447,1,44,5,89188.83,1,1,1,75408.24,68216.887,1,1.18,True,False,False,0.34,Medium Risk,0
792,0,30,1,127187.86,1,1,1,113553.42,97859.956,1,1.12,True,False,False,0.048,Low Risk,0
817,0,59,1,118962.58,1,1,1,120819.58,95927.164,1,0.98,True,False,False,0.211,Low Risk,0
607,1,33,8,91301.72,1,0,1,130824.57,86498.231,1,0.7,True,False,False,0.097,Low Risk,0
601,0,41,1,123971.16,1,0,1,172814.99,114030.077,1,0.72,True,False,False,0.305,Medium Risk,0
536,0,32,7,178011.5,2,1,0,22375.14,97118.292,0,7.96,True,False,False,0.293,Low Risk,0
554,1,36,3,157780.93,2,1,0,6089.13,81317.204,0,25.91,False,True,False,0.411,Medium Risk,0
577,0,60,10,125389.7,2,1,1,178616.73,118279.869,2,0.7,True,False,False,0.259,Low Risk,0
608,1,41,5,0.0,2,1,1,72462.25,22738.675,2,0.0,True,False,False,0.075,Low Risk,0
732,0,33,8,0.0,1,1,0,119882.7,37564.81,0,0.0,False,False,True,0.465,Medium Risk,0
789,1,53,1,158271.74,1,1,1,5036.39,80846.787,1,31.43,True,False,False,0.284,Low Risk,1
552,1,34,5,0.0,2,1,1,1351.41,1405.423,2,0.0,True,False,False,0.03,Low Risk,0
621,0,40,10,163823.37,1,0,0,89519.47,110767.526,0,1.83,True,False,False,0.382,Medium Risk,0
766,1,52,7,92510.9,2,0,1,66193.61,67513.533,2,1.4,True,False,False,0.278,Low Risk,0
685,0,43,4,97392.18,2,1,0,43956.83,62683.139,0,2.22,False,False,True,0.35,Medium Risk,0
649,1,38,8,0.0,1,1,0,103760.53,32728.159,0,0.0,False,False,True,0.432,Medium Risk,0
493,1,36,2,0.0,2,0,1,99770.3,30331.09,2,0.0,True,False,False,0.05,Low Risk,0
633,0,35,10,0.0,2,1,0,65675.47,21702.641,0,0.0,True,False,False,0.075,Low Risk,0
742,0,33,1,137937.95,1,1,1,51387.1,84585.10500000001,1,2.68,False,True,False,0.29,Low Risk,0
604,1,41,10,0.0,2,1,1,166224.39,51867.317,2,0.0,False,False,True,0.119,Low Risk,0
759,0,42,4,105420.18,1,0,1,121409.06,89932.80799999999,1,0.87,True,False,False,0.291,Low Risk,0
683,1,35,6,187530.66,2,1,1,37976.36,106358.238,2,4.94,True,False,False,0.239,Low Risk,0
678,0,28,2,109137.12,1,1,1,58814.41,72612.883,1,1.86,True,False,False,0.071,Low Risk,0
628,0,31,0,88421.81,1,0,0,72350.47,65916.046,0,1.22,True,False,False,0.325,Medium Risk,0
850,1,36,6,0.0,2,1,1,190194.95,58258.485,2,0.0,True,False,False,0.043,Low Risk,0
724,1,34,2,0.0,2,1,1,118863.38,36059.014,2,0.0,True,False,False,0.039,Low Risk,0
828,0,31,9,0.0,1,0,1,164257.37,51077.211,1,0.0,True,False,False,0.173,Low Risk,0
569,1,30,3,139528.23,1,1,1,33230.37,80333.22600000001,1,4.2,False,False,True,0.075,Low Risk,0
677,1,49,3,0.0,2,1,1,187811.71,56943.513,2,0.0,True,False,False,0.171,Low Risk,0
495,1,38,2,63093.01,1,1,1,47089.72,46073.421,1,1.34,True,False,False,0.232,Low Risk,0
627,1,33,4,83199.05,1,0,0,159334.93,90200.004,0,0.52,False,True,False,0.53,High Risk,0
597,1,36,9,0.0,2,1,1,7156.09,3946.827,2,0.0,True,False,False,0.066,Low Risk,0
762,0,31,7,117687.35,1,1,1,159344.43,108047.004,1,0.74,True,False,False,0.098,Low Risk,0
476,1,69,1,105303.73,1,0,1,134260.34,93129.967,1,0.78,False,False,True,0.339,Medium Risk,0
499,0,35,10,0.0,2,1,0,10722.54,5216.762000000001,0,0.0,True,False,False,0.042,Low Risk,0
642,0,62,7,0.0,2,1,1,61120.75,19736.225,2,0.0,True,False,False,0.05,Low Risk,0
562,0,62,3,0.0,2,1,0,105986.01,32395.803,0,0.0,True,False,False,0.545,High Risk,0
542,1,25,7,0.0,2,0,1,82393.08,26117.924,2,0.0,True,False,False,0.028,Low Risk,0
451,1,31,7,140931.82,1,0,1,20388.77,77982.541,1,6.91,True,False,False,0.075,Low Risk,0
712,1,37,1,106881.5,2,0,0,169386.81,104456.793,0,0.63,True,False,False,0.314,Medium Risk,0
565,0,34,6,0.0,1,1,1,63173.64,20152.092,1,0.0,True,False,False,0.202,Low Risk,0
732,1,36,9,0.0,1,0,0,3749.0,2924.7,0,0.0,True,False,False,0.316,Medium Risk,1
771,0,51,5,135506.58,3,1,1,152479.64,114497.182,3,0.89,False,False,True,0.851,Critical Risk,1
655,1,41,5,0.0,1,0,0,36548.0,11964.4,0,0.0,True,False,False,0.748,Critical Risk,1
683,0,38,3,126152.84,1,0,0,15378.75,68290.045,0,8.2,False,False,True,0.39,Medium Risk,0
764,0,38,4,113607.47,1,1,0,91094.46,84932.073,0,1.25,False,False,True,0.323,Medium Risk,0
438,0,60,7,78391.17,1,0,1,49424.6,55422.965,1,1.59,True,False,False,0.329,Medium Risk,0
762,0,35,9,122929.42,2,0,0,149822.04,108211.322,0,0.82,False,False,True,0.266,Low Risk,0
622,0,39,9,0.0,2,0,1,100862.36,32058.708,2,0.0,False,False,True,0.055,Low Risk,0
660,1,33,1,0.0,2,0,0,117834.91,35550.473,0,0.0,False,False,True,0.102,Low Risk,0
498,1,30,1,0.0,2,0,0,135795.53,40938.659,0,0.0,True,False,False,0.072,Low Risk,0
591,0,29,6,0.0,2,1,1,108684.65,33805.395,2,0.0,True,False,False,0.038,Low Risk,0
554,1,37,4,58629.97,1,0,0,182038.6,84726.565,0,0.32,False,True,False,0.43,Medium Risk,0
506,1,34,4,90307.62,1,1,1,159235.29,93724.397,1,0.57,True,False,False,0.092,Low Risk,0
505,1,25,5,114268.85,2,1,1,126728.27,96152.906,2,0.9,False,True,False,0.089,Low Risk,0
633,1,30,6,0.0,2,0,0,41642.29,13692.687,0,0.0,True,False,False,0.067,Low Risk,0
636,1,24,9,0.0,2,0,1,38830.72,13449.216,2,0.0,True,False,False,0.025,Low Risk,0
768,1,36,5,180169.44,2,1,0,17348.56,96289.288,0,10.39,True,False,False,0.313,Medium Risk,0
712,0,43,1,141749.74,2,0,1,90905.26,98346.448,2,1.56,False,True,False,0.351,Medium Risk,0
593,0,74,5,161434.36,2,1,1,65532.17,101376.831,2,2.46,False,True,False,0.196,Low Risk,0
708,0,38,8,99640.89,1,1,0,12429.22,55149.211,0,8.02,False,False,True,0.335,Medium Risk,0
529,1,43,0,123815.86,1,1,1,78463.99,85447.12700000001,1,1.58,True,False,False,0.279,Low Risk,1
579,0,42,0,144386.32,1,1,1,22497.1,78942.29000000001,1,6.42,False,True,False,0.546,High Risk,1
815,0,24,7,171922.72,1,0,1,178028.96,140770.048,1,0.97,True,False,False,0.217,Low Risk,0
606,0,40,1,144757.97,2,1,1,166656.18,122575.839,2,0.87,False,True,False,0.255,Low Risk,0
608,1,63,3,139529.93,2,1,1,175696.16,123073.813,2,0.79,False,False,True,0.25,Low Risk,1
648,1,40,5,139973.65,1,1,1,667.66,71187.12299999999,1,209.65,False,True,False,0.544,High Risk,1
482,1,35,5,147813.05,2,0,0,109029.72,107615.441,0,1.36,True,False,False,0.271,Low Risk,0
625,0,45,7,137555.44,1,0,0,124607.7,107560.03,0,1.1,True,False,False,0.753,Critical Risk,0
610,1,27,2,0.0,2,1,0,14546.76,4764.028,0,0.0,True,False,False,0.096,Low Risk,0
548,0,29,5,83442.98,1,0,1,177017.39,95826.707,1,0.47,True,False,False,0.125,Low Risk,0
850,1,32,5,106290.64,1,1,0,121982.73,90740.139,0,0.87,True,False,False,0.164,Low Risk,0
580,0,55,6,104305.74,1,0,1,175750.21,106077.933,1,0.59,True,False,False,0.462,Medium Risk,0
652,0,27,10,107303.72,2,0,0,44435.76,68982.588,0,2.41,True,False,False,0.138,Low Risk,0
687,1,29,7,93617.07,1,0,1,113050.92,82123.811,1,0.83,False,False,True,0.089,Low Risk,0
539,0,30,0,0.0,2,1,0,160979.66,48293.898,0,0.0,True,False,False,0.138,Low Risk,0
470,0,39,5,117469.91,2,0,0,63705.9,78846.725,0,1.84,False,True,False,0.546,High Risk,0
514,1,41,7,0.0,2,1,1,3756.65,2526.995,2,0.0,True,False,False,0.067,Low Risk,0
534,0,24,1,0.0,1,1,1,169653.32,51095.996,1,0.0,True,False,False,0.186,Low Risk,0
661,0,37,7,109908.06,2,1,0,115037.67,90865.331,0,0.96,False,True,False,0.475,Medium Risk,1
464,0,37,4,155994.15,1,0,0,143665.44,121896.707,0,1.09,False,True,False,0.628,High Risk,0
627,1,25,4,0.0,1,1,1,194313.93,59094.179,1,0.0,False,False,True,0.223,Low Risk,0
781,0,35,7,92526.15,2,1,1,173837.54,99814.337,2,0.53,False,True,False,0.062,Low Risk,0
555,0,41,10,113270.2,2,1,1,185387.14,114251.242,2,0.61,False,True,False,0.293,Low Risk,0
619,0,23,5,132725.1,1,1,1,143913.33,110536.549,1,0.92,False,True,False,0.212,Low Risk,0
775,1,38,6,179886.41,2,0,0,153122.58,137079.979,0,1.17,False,True,False,0.394,Medium Risk,0
671,1,44,0,84745.03,2,0,1,34673.98,52774.709,2,2.44,False,True,False,0.306,Medium Risk,0
735,0,36,5,0.0,2,1,0,105152.17,32545.651,0,0.0,False,False,True,0.077,Low Risk,0
724,1,30,9,142475.87,1,1,1,107848.24,105392.407,1,1.32,True,False,False,0.082,Low Risk,0
662,1,39,5,139562.05,2,1,0,61636.22,89271.89099999999,0,2.26,True,False,False,0.306,Medium Risk,0
657,1,37,6,95845.6,1,1,0,122218.23,85788.269,0,0.78,True,False,False,0.29,Low Risk,0
809,0,33,9,0.0,1,1,1,124045.65,39013.695,1,0.0,False,False,True,0.12,Low Risk,0
501,0,35,6,99760.84,1,1,1,13591.52,55157.876,1,7.34,True,False,False,0.106,Low Risk,0
564,1,36,7,206329.65,1,1,1,46632.87,118554.686,1,4.42,True,False,False,0.438,Medium Risk,1
635,0,33,1,0.0,3,0,0,178067.33,53620.19899999999,0,0.0,True,False,False,0.483,Medium Risk,1
790,1,33,10,135120.72,1,0,0,195204.99,128121.857,0,0.69,True,False,False,0.199,Low Risk,0
656,0,37,7,112291.34,1,1,0,153157.97,103493.061,0,0.73,True,False,False,0.266,Low Risk,0
679,0,60,8,0.0,2,1,1,51380.9,17014.27,2,0.0,True,False,False,0.065,Low Risk,0
692,0,66,4,159732.02,1,1,1,118188.15,116122.455,1,1.35,True,False,False,0.147,Low Risk,0
710,0,38,2,0.0,2,1,0,96.27,428.881,0,0.0,True,False,False,0.14,Low Risk,0
769,1,26,7,0.0,2,1,0,176843.53,54453.059,0,0.0,True,False,False,0.088,Low Risk,0
666,1,34,9,115897.12,1,1,1,25095.03,67277.06899999999,1,4.62,True,False,False,0.072,Low Risk,0
691,0,52,3,0.0,1,1,0,175843.68,53353.104,0,0.0,True,False,False,0.92,Critical Risk,1
604,0,36,6,116229.85,2,1,1,79633.38,83204.939,2,1.46,True,False,False,0.078,Low Risk,0
544,0,37,3,84496.71,1,0,0,79972.09,66839.982,0,1.06,True,False,False,0.419,Medium Risk,0
609,0,32,7,118520.41,1,0,0,3815.48,61804.849,0,31.06,True,False,False,0.272,Low Risk,0
597,0,35,0,127510.99,1,1,1,155356.34,110362.397,1,0.82,False,False,True,0.106,Low Risk,0
549,1,25,5,0.0,2,0,0,190857.79,58257.337,0,0.0,True,False,False,0.135,Low Risk,0
722,1,49,3,168197.66,1,1,0,140765.57,126928.501,0,1.19,True,False,False,0.777,Critical Risk,1
806,0,18,3,0.0,2,1,1,86994.54,26698.362,2,0.0,False,False,True,0.027,Low Risk,0
517,0,53,0,109172.88,1,1,0,54676.1,70989.27,0,2.0,False,True,False,0.931,Critical Risk,1
651,0,56,2,0.0,1,1,0,114522.68,34756.804,0,0.0,True,False,False,0.931,Critical Risk,1
803,1,40,6,165526.71,1,1,0,12328.08,87661.779,0,13.43,True,False,False,0.493,Medium Risk,0
747,0,37,1,0.0,2,0,1,180551.76,54365.528,2,0.0,False,False,True,0.108,Low Risk,0
648,0,33,5,138664.24,1,1,0,29076.27,79055.00099999999,0,4.77,False,True,False,0.719,Critical Risk,0
438,1,36,4,0.0,2,1,0,64420.5,20126.15,0,0.0,True,False,False,0.082,Low Risk,0
781,1,29,6,98759.89,1,0,0,112202.64,84240.737,0,0.88,False,False,True,0.292,Low Risk,0
610,0,57,6,106938.11,2,0,1,186612.47,110652.796,2,0.57,False,True,False,0.422,Medium Risk,0
628,0,39,6,0.0,2,0,0,134441.6,41532.48,0,0.0,True,False,False,0.208,Low Risk,0
601,0,24,7,0.0,2,0,0,144660.42,44798.126,0,0.0,False,False,True,0.112,Low Risk,0
629,1,31,6,0.0,1,1,1,16447.6,6134.28,1,0.0,True,False,False,0.217,Low Risk,1
738,0,62,10,83008.31,1,1,1,42766.03,56333.964,1,1.94,False,True,False,0.353,Medium Risk,0
850,0,30,5,123210.56,2,1,1,102180.27,93259.361,2,1.21,False,True,False,0.076,Low Risk,0
587,0,46,9,107850.82,1,1,0,139431.0,97554.71,0,0.77,False,True,False,0.931,Critical Risk,1
574,0,34,1,112572.39,1,0,0,165626.6,106174.175,0,0.68,True,False,False,0.259,Low Risk,0
535,1,45,2,0.0,2,0,1,170621.55,51586.465,2,0.0,True,False,False,0.224,Low Risk,0
565,0,32,9,0.0,2,1,0,5388.3,3416.49,0,0.0,True,False,False,0.043,Low Risk,0
469,1,52,8,139493.25,3,0,0,150093.32,116374.621,0,0.93,False,True,False,0.905,Critical Risk,1
566,0,42,3,108010.78,1,1,1,157486.1,101851.22,1,0.69,True,False,False,0.29,Low Risk,0
732,1,33,8,111379.55,1,1,1,45098.62,70819.361,1,2.47,False,False,True,0.055,Low Risk,0
459,0,26,4,149879.66,1,0,0,50016.17,90744.681,0,3.0,True,False,False,0.273,Low Risk,0
798,0,37,8,0.0,3,0,0,110783.28,34834.984,0,0.0,True,False,False,0.379,Medium Risk,0
487,1,61,5,110368.03,1,0,0,11384.45,59599.35,0,9.69,False,True,False,0.921,Critical Risk,1
678,1,38,2,0.0,2,0,0,115068.99,34920.697,0,0.0,True,False,False,0.13,Low Risk,0
850,0,37,6,0.0,2,1,0,109291.22,33987.366,0,0.0,True,False,False,0.079,Low Risk,0
755,1,33,6,90560.3,2,1,1,42607.69,59262.457,2,2.13,False,True,False,0.069,Low Risk,0
743,1,32,6,140348.56,2,1,1,163254.39,120350.597,2,0.86,False,True,False,0.154,Low Risk,0
